Question,Answer
Industry,
How many years of work experience do you have with Applied Research?,1
Do you have the following license or certification: EMC Proven Professional Certification?,No
How many years of work experience do you have with Marketing Mix Modeling?,1
What is your university grade point average (4.0 GPA Scale)?,0
"Are you willing to take a drug test, in accordance with local law/regulations?",Yes
How many years of work experience do you have with Hadoop?,1
Company,
How many years of work experience do you have with PostgreSQL?,0
How many years of work experience do you have with Python (Programming Language)?,3
How many years of work experience do you have with Analytics?,1
How many years of work experience do you have with Pyth (Programming Language)?,1
How many years of work experience do you have with Data Management?,3
How many years of work experience do you have with GitHub?,0
School,
Description,
